Нагатинская,55.44155,37.289229,subway,1,9,true
Южная,55.44155,37.289229,subway,1,9,true
Улица академика Янгеля,55.44155,37.289229,subway,1,9,true
Бульвар Дмитрия Донского,55.44155,37.289229,subway,1,9,true
Кунцевщина,53.906228,27.4525541,subway,8,13,true
Партизанская,53.8748637,27.6298293,subway,8,13,true
Тракторный завод,53.8892289,27.6149619,subway,8,13,true
Пролетарская,53.8896343,27.5856077,subway,8,13,true
Первомайская,53.8938435,27.5705156,subway,8,13,true
Купаловская,53.9015369,27.5604892,subway,8,13,true
Немига,53.9054617,27.5544432,subway,8,13,true
Фрунзенская,53.9052831,27.5391841,subway,8,13,true
Молодёжная,53.9063481,27.5226402,subway,8,13,true
Пушкинская,53.9096536,27.4970305,subway,8,13,true
Спортивная,53.9084306,27.4793762,subway,8,13,true
Малиновка,53.8494515,27.4749699,subway,8,14,true
Петровщина,53.8640599,27.4854065,subway,8,14,true
Михалово,53.8769478,27.4970841,subway,8,14,true
Грушевка,53.8867059,27.5141215,subway,8,14,true
Институт Культуры,53.8860198,27.5392216,subway,8,14,true
Площадь Ленина,53.8920693,27.5485396,subway,8,14,true
Октябрьская,53.9023171,27.5630732,subway,8,14,true
Площадь Победы,53.9091227,27.5747555,subway,8,14,true
Парк Челюскинцев,53.9045398,27.5615244,subway,8,14,true
Московская,53.9045398,27.5615244,subway,8,14,true
Могилёвская,53.862394,27.6732852,subway,8,13,true
Каменная Горка,53.9068759,27.4377161,subway,8,13,true
Академия наук,53.9045398,27.5615244,subway,8,14,true
Восток,53.9280816,27.6291883,subway,8,14,true
Борисовский тракт,53.9045398,27.5615244,subway,8,14,true
Уручье,53.9280816,27.6291883,subway,8,14,true
Сретенский бульвар,55.766299,37.636374,subway,1,8,true
Крестьянская застава,55.732464,37.664788,subway,1,8,true
Кожуховская,55.70632,37.68571,subway,1,8,true
Люблино,55.676265,37.762003,subway,1,8,true
Братиславская,55.65946,37.750514,subway,1,8,true
Марьино,55.649368,37.744118,subway,1,8,true
Каховская,55.653177,37.598232,subway,1,6,true
Улица Скобелевская,55.44155,37.289229,subway,1,2,true
Бунинская аллея,55.44155,37.289229,subway,1,2,true
Черкизовская,55.802988,37.744819,subway,1,10,true
Новокузнецкая,55.742276,37.629125,subway,1,3,true
Проспект Мира,55.779631,37.633464,subway,1,7,true
Сходненская,55.85051,37.439787,subway,1,11,true
Бибирево,55.883868,37.603011,subway,1,9,true
Библиотека имени Ленина,55.752501,37.611482,subway,1,10,true
Александровский сад,55.752075,37.609308,subway,1,12,true
Белорусская,55.77717,37.586194,subway,1,7,true
Планерная,55.860529,37.436382,subway,1,11,true
Нахимовский проспект,55.44155,37.289229,subway,1,9,true
Автозаводская,53.8690093,27.6487362,subway,8,13,true
Площадь Якуба Коласа,53.916071,27.5853074,subway,8,14,true
